"","x"
"1",0.385216058697551
"2",0.0044205314326811
"3",0.00421748963877298
"4",0.00398701156896428
"5",0.00375199967872773
"6",0.00352066295858496
"7",0.00329999309004717
"8",0.00309432538037566
"9",0.0029017430640619
"10",0.00270895164997088
"11",0.00249047653855134
"12",0.00222352912522152
"13",0.00191285958495028
"14",0.00159011624696195
"15",0.00128561442155699
"16",0.00101402036614024
"17",0.000782081771291049
"18",0.000592330390620705
"19",0.000442121266293488
"20",0.000325560147617659
"21",0.000236233380305891
"22",0.000168531439745072
"23",0.000117901548158671
"24",8.0694511855766e-05
"25",5.39339002338765e-05
"26",3.5155378682688e-05
"27",2.23241434042006e-05
"28",1.37959811536755e-05
"29",8.28640896708026e-06
"30",4.82974756218269e-06
"31",2.72692255799366e-06
"32",1.48928573713535e-06
"33",7.86287430474358e-07
"34",4.01659519560974e-07
"35",1.99055872380962e-07
"36",9.61094073351966e-08
"37",4.54237186199283e-08
"38",2.10973654557155e-08
"39",9.64920919178735e-09
"40",4.34422782905701e-09
"41",1.92042466069693e-09
"42",8.30786189155237e-10
"43",3.50909131234568e-10
"44",1.44712449742549e-10
"45",5.83834364250821e-11
"46",2.31107073847091e-11
"47",9.00175304515188e-12
"48",3.45828952613282e-12
"49",1.31278417729052e-12
"50",4.93055456757057e-13
"51",1.83401032355378e-13
"52",6.76174663794053e-14
"53",2.4726699478409e-14
"54",8.97417820560109e-15
"55",3.23444745749904e-15
"56",1.15832568266148e-15
"57",4.12412015899589e-16
"58",1.4606440158518e-16
"59",5.14879916731596e-17
"60",1.80734226218154e-17
"61",6.32061169010779e-18
"62",2.20323365607902e-18
"63",7.65824049299339e-19
"64",2.65541257042798e-19
"65",9.18797362415888e-20
"66",3.17342421429098e-20
"67",1.0944104555259e-20
"68",3.76951438946248e-21
"69",1.29700584028946e-21
"70",4.45902254548966e-22
"71",1.53200085193587e-22
"72",5.26098070860628e-23
"73",1.80597744990238e-23
"74",6.19768566414492e-24
"75",2.12638167854837e-24
"76",7.29396748660289e-25
"77",2.50156197320573e-25
"78",8.57823473038392e-26
"79",2.94133135665515e-26
"80",1.00850373311165e-26
"81",3.45806296663794e-27
"82",1.18591270221937e-27
"83",4.06801578362331e-28
"84",1.39594164062359e-28
"85",4.79234602651846e-29
"86",1.64612477128695e-29
"87",5.65775598038176e-30
"88",1.94590484549499e-30
"89",6.6975972991465e-31
"90",2.30703936549369e-31
"91",7.95319050762398e-32
"92",2.74398649361136e-32
"93",9.47484559562221e-33
"94",3.27415607906379e-33
"95",1.1322494005094e-33
"96",3.91801981437476e-34
"97",1.35651626429524e-34
"98",4.69847457575173e-35
"99",1.62777817569695e-35
"100",5.63993456679583e-36
"101",1.95407183008164e-36
"102",6.76970900860774e-37
"103",2.3452168801868e-37
"104",8.12583432525221e-38
"105",2.81712289633009e-38
"106",9.77791950286546e-39
"107",3.39927170651349e-39
"108",1.18377884196382e-39
"109",4.12895257560068e-40
"110",1.44212124002571e-40
"111",5.04280287439471e-41
"112",1.76516340803305e-41
"113",6.18433139363739e-42
"114",2.16851101868319e-42
"115",7.60970766557937e-43
"116",2.67236919713408e-43
"117",9.39158183331773e-44
"118",3.30287111881517e-44
"119",1.16239966952646e-44
"120",4.09386544170372e-45
"121",1.44287740333568e-45
"122",5.08914449169505e-46
"123",1.79630225963116e-46
"124",6.34500554712747e-47
"125",2.24285548034932e-47
"126",7.93392119476169e-48
"127",2.80863225345665e-48
"128",9.95007603567354e-49
"129",3.52765759950446e-49
"130",1.25163767760395e-49
"131",4.44432557006946e-50
"132",1.57931616788637e-50
"133",5.61650806010425e-51
"134",1.99890811847681e-51
"135",7.11934673970098e-52
"136",2.53744834538434e-52
"137",9.05009422168477e-53
"138",3.22997967477801e-53
"139",1.15353775690928e-53
"140",4.12233286422591e-54
"141",1.47408981811839e-54
"142",5.27426096775195e-55
"143",1.88816957919538e-55
"144",6.76308974387827e-56
"145",2.42356826706121e-56
"146",8.68861789744304e-57
"147",3.11608163652933e-57
"148",1.11790576618525e-57
"149",4.01155802729578e-58
"150",1.43979822718138e-58
"151",5.16812937712958e-59
"152",1.85508000391618e-59
"153",6.65790990873377e-60
"154",2.3889433884611e-60
"155",8.56860609932219e-61
"156",3.07177565810025e-61
"157",1.10048070512505e-61
"158",3.93947718389032e-62
"159",1.4090559776033e-62
"160",5.0355286196308e-63
"161",1.79806154679211e-63
"162",6.41564512935257e-64
"163",2.28769530254587e-64
"164",8.15321872130036e-65
"165",2.90457959830065e-65
"166",1.03444345897683e-65
"167",3.68332908808783e-66
"168",1.31135373613311e-66
"169",4.66846321332339e-67
"170",1.66198119426395e-67
"171",5.91689930121589e-68
"172",2.10664261807017e-68
"173",7.50108916931224e-69
"174",2.67115377730009e-69
"175",9.51296283066068e-70
"176",3.38823864811598e-70
"177",1.20689795390536e-70
"178",4.29933319668868e-71
"179",1.53165327132013e-71
"180",5.45686371361943e-72
"181",1.94421132702793e-72
"182",6.92717810514599e-73
"183",2.46818458412979e-73
"184",8.79437830499324e-74
"185",3.13356782130814e-74
"186",1.11655836805998e-74
"187",3.97864751332405e-75
"188",1.41777292095316e-75
"189",5.05246862562127e-76
"190",1.80068757295794e-76
"191",6.41838920907848e-77
"192",2.28814489458455e-77
"193",8.15882171587448e-78
"194",2.90986588506638e-78
"195",1.0380868040928e-78
"196",3.70443584726993e-79
"197",1.32236192489979e-79
"198",4.72204937263031e-80
"199",1.68684281604656e-80
"200",6.02828783262264e-81
"201",2.15525433054521e-81
